ID,BaseMean,log2FC,lfcSE,stat,pvalue,padj,ClusterID
1314,5591.23923504977,8.19310948812216,0.794468295736059,10.312695336107,6.17449055589224e-25,4.10974091400188e-21,"NA"
3000,28056.8930483205,6.28270612393933,0.640634905764348,9.80699938047142,1.05045750967012e-22,3.49592259218217e-19,Terpene1
1317,2025.71523581622,7.77587894272306,0.819708283758443,9.4861539120599,2.39715987630108e-21,3.988874034165e-18,"NA"
3001,16894.3548321381,6.77817251717928,0.712725166281075,9.51021913895236,1.90261310318399e-21,3.988874034165e-18,Terpene1
1320,1102.54362871127,7.89439645997481,0.879599675183516,8.9749879208718,2.83382883025281e-19,3.77239293883254e-16,"NA"
0487,1267.67493010802,7.73022359495322,0.871662696979417,8.86836573566915,7.42271922333528e-19,7.05794559293137e-16,"NA"
0515,1786.34234422337,6.11866425560521,0.688780018068425,8.88333589113697,6.48846709273832e-19,7.05794559293137e-16,"NA"
1318,829.032340477602,8.72598421081485,0.985669035378516,8.85285415044402,8.53091135136923e-19,7.0977182443392e-16,"NA"
1315,1673.50097578228,7.30065528028312,0.837133978280884,8.72101177314,2.75726763026332e-18,2.03915259411474e-15,"NA"
1319,1940.13651914724,8.32561019644248,0.965351292665981,8.62443574654559,6.44094307147448e-18,4.28709170837342e-15,"NA"
1316,2451.97208716565,6.59915866366932,0.7679742194164,8.59294296191892,8.47696234937835e-18,5.12933285431476e-15,"NA"
0488,1119.94605787235,7.20144905073781,0.846459625720462,8.5077289358111,1.77373269464236e-17,9.83830401294965e-15,"NA"
1312,1524.22957467453,7.19682633987889,0.882779734262587,8.15245984989745,3.56595359577758e-16,1.82576824103812e-13,"NA"
1313,2089.97834848585,6.40878595096781,0.79677167245305,8.04344101646692,8.73502611504764e-16,4.15288098726837e-13,"NA"
6218,6767.62615566727,5.16127673319209,0.648682739993263,7.95655012070414,1.76902491769554e-15,7.84975323478768e-13,Lantipeptide(venezuelin)
3385,1983.87649782235,5.94530828597061,0.766020664070831,7.76128969468749,8.40700361760284e-15,3.49731350492278e-12,"NA"
1311,2603.26759480489,8.26457823236587,1.09013243979371,7.58126070803821,3.42213146466295e-14,1.33986511934098e-11,"NA"
6237,8289.55880507501,9.07185638500662,1.20387181982178,7.53556669043856,4.86218616651272e-14,1.79792839579493e-11,Lantipeptide(venezuelin)
6236,1613.93671096253,10.4779927133225,1.40706817548708,7.44668445769899,9.57151783366057e-14,3.35305382636025e-11,Lantipeptide(venezuelin)
6217,5283.27283517441,5.29233421067494,0.713088708186633,7.42170525197799,1.15621897447584e-13,3.84789674705558e-11,Lantipeptide(venezuelin)
0495,1735.59585038529,6.68709683822427,0.906474790582961,7.37703564146968,1.61852690971942e-13,5.12995957671069e-11,"NA"
6256,3523.67683254687,9.19245258606726,1.25178710138685,7.34346325815545,2.08136553473306e-13,6.29707681781055e-11,Lantipeptide(venezuelin)
5107,998.28770335671,4.70819421594938,0.643473995149102,7.31683681305322,2.53884277498159e-13,7.04105729594894e-11,T1PKS-T3PKS-NRPS
6239,3647.13104202139,9.12263966476115,1.24641991544226,7.31907405500997,2.49687786523423e-13,7.04105729594894e-11,Lantipeptide(venezuelin)
6219,1319.59388491359,5.01844765153982,0.69669597745626,7.20321031544191,5.88111518418552e-13,1.56578810663755e-10,Lantipeptide(venezuelin)
5596,727.458085626174,5.54305239923835,0.787110933227582,7.04227595532033,1.89124789024441e-12,4.84159459902569e-10,Lantipeptide/terpene
