geneid,Log2FC,Lsr2_bound,ClusterID
2822,3.277984747,Bound,NA
2855,2.247927513,Not Bound,NA
2861,2.201633861,Not Bound,NA
2864,2.215012891,Not Bound,NA
2865,2.503616546,Not Bound,NA
2866,2.178337241,Not Bound,NA
2867,2.343407822,Not Bound,NA
2868,2.286522759,Not Bound,NA
2869,2.201633861,Not Bound,NA
2870,2.469485283,Not Bound,NA
2871,2.906890596,Not Bound,NA
2872,2.606657572,Not Bound,NA
2873,2.321928095,Not Bound,NA
2874,2.14974712,Not Bound,NA
2875,2.175849835,Not Bound,NA
2876,2.602036014,Not Bound,NA
2877,2.297680549,Not Bound,NA
2878,2.678071905,Not Bound,NA
2879,2.99138687,Not Bound,NA
2880,2.687324218,Not Bound,NA
2882,3.432959407,Not Bound,NA
2900,3.325530332,Not Bound,NA
2916,4.790076931,Not Bound,NA
2917,3.163653855,Bound,NA
2918,3.584962501,Bound,NA
2919,3.222392421,Bound,NA
2920,2.963474124,Not Bound,NA
2991,-3.423211431,Not Bound,NA
2992,-3.135776779,Not Bound,NA
3000,7.31636857,Not Bound,NA
3001,6.897328982,Not Bound,NA
3019,2.03562391,Not Bound,NA
3020,5.277984747,Not Bound,NA
3021,3,Bound,NA
3042,3.08246216,Not Bound,NA
3052,2.14974712,Not Bound,NA
3053,3.087462841,Not Bound,NA
3054,2.530514717,Not Bound,NA
3065,3.5360529,Not Bound,NA
3066,2.736965594,Not Bound,NA
3067,3.222392421,Bound,NA
3114,2.133855747,Not Bound,Lassopeptide
3126,2.030983904,Not Bound,Lassopeptide
3193,2.722466024,Not Bound,NA
3194,2.547487795,Bound,NA
3195,2.099535674,Not Bound,NA
3221,2.807354922,Bound,NA
3225,-3.216704761,Bound,NA
3297,2.225101709,Bound,NA
3299,2.411813598,Not Bound,NA
3342,2.649092838,Not Bound,NA
3383,2.664689693,Not Bound,NA
3384,2.747498523,Not Bound,NA
3385,6.041540122,Bound,NA
3464,2.955436453,Bound,NA
3465,2.857980995,Not Bound,NA
3466,2.459431619,Not Bound,NA
3467,3,Not Bound,NA
3505,2.080170349,Not Bound,NA
3536,-2.742503778,Not Bound,NA
3537,2.058893689,Not Bound,NA
3560,2.08607095,Not Bound,NA
3603,4.209453366,Not Bound,NA
3604,4.121015401,Not Bound,NA
3605,3.795859283,Not Bound,NA
3607,3.775784843,Not Bound,NA
3608,2.739685096,Not Bound,NA
3609,4.517669388,Not Bound,NA
3613,2.195366631,Not Bound,NA
3614,3.882254863,Not Bound,NA
3615,4.757023247,Not Bound,NA
3616,5.285402219,Not Bound,NA
3617,5.129283017,Not Bound,NA
3618,4.95419631,Not Bound,NA
3675,2.338801913,Not Bound,NA
3676,2.426264755,Bound,NA
3714,2.092258508,Not Bound,NA
3752,-3.266036894,Not Bound,NA
3832,2.454616899,Bound,NA
3854,2.063193826,Not Bound,NA
3875,4.459431619,Not Bound,NA
3974,2.720314354,Not Bound,NA
4008,2.649092838,Not Bound,NA
4009,3.867711752,Not Bound,NA
4010,2.831756266,Bound,NA
4069,2.597562538,Bound,Other2
4150,-2.549734012,Bound,NA
4164,-3.012243596,Bound,NA
4232,2.273018494,Not Bound,NA
4297,3.321928095,Not Bound,NA
4306,2.039528364,Not Bound,NA
4347,2.763299742,Not Bound,NA
4348,2.90442234,Not Bound,NA
4349,3.38932738,Not Bound,NA
4350,3.014355293,Not Bound,NA
4351,3.26052755,Not Bound,NA
4352,3.130703692,Not Bound,NA
4353,3.094718657,Not Bound,NA
4354,3.382469637,Not Bound,NA
4355,3.136372442,Not Bound,NA
4356,2.909487707,Not Bound,NA
4357,2.798165751,Not Bound,NA
4358,2.720845929,Not Bound,NA
4359,2.781894937,Not Bound,NA
4360,2.379172047,Not Bound,NA
4362,2.491853096,Not Bound,NA
4363,3.014827418,Not Bound,NA
4364,2.321928095,Not Bound,NA
4365,3,Not Bound,NA
4367,3.199672345,Not Bound,NA
4368,2.959358016,Not Bound,NA
4369,2.706953025,Not Bound,NA
4375,2.169925001,Not Bound,NA
4431,2.614709844,Not Bound,NA
4477,2.074424841,Not Bound,NA
4523,2.17990909,Not Bound,NA
4555,2.326729081,Not Bound,NA
4556,2.527737632,Not Bound,NA
4557,2.328325866,Not Bound,NA
4582,2.841302254,Bound,NA
4601,2.275634443,Not Bound,NA
4603,2.08246216,Not Bound,NA
4711,-3.078951341,Not Bound,NA
4716,2.231325546,Not Bound,NA
4759,3.56026206,Bound,NA
4760,4.337869639,Not Bound,NA
4761,4.672425342,Not Bound,NA
4762,4.255141004,Not Bound,NA
4763,4.26382514,Not Bound,NA
4860,2.125530882,Not Bound,NA
4876,3.435386145,Not Bound,NA
4877,3.058893689,Not Bound,NA
4897,2.247927513,Not Bound,NA
4912,-3.03562391,Not Bound,NA
4913,-3.68620248,Not Bound,NA
4929,2.11783649,Not Bound,NA
4977,2.561878888,Not Bound,NA
5010,2.230297619,Not Bound,NA
5050,2.178337241,Not Bound,NA
5105,3.843274496,Not Bound,Butyrolactone
5106,3.328187085,Bound,Butyrolactone
5107,NA,Not Bound,Butyrolactone
5114,2.528779665,Not Bound,NA
5115,2.526545814,Not Bound,NA
5130,5.751544059,Bound,Thiopeptide
5131,5.50981485,Not Bound,Thiopeptide
5135,4.64385619,Not Bound,Thiopeptide
5151,2.784271309,Not Bound,NA
5196,2.236376651,Not Bound,NA
