geneid
329
502
926
1023
1210
1269
1312
1502
1777
1909
2177
2280
2464
2473
2491
2494
2502
2530
2586
2605
2640
r8
r9
2822
2888
2890
2917
2918
2931
2944
2964
2974
2975
3067
3194
r14
r15
3224
3244
3297
3385
3424
3493
3559
3563
3568
3704
3722
3807
3816
3832
r16
r17
3915
4010
4048
4069
4116
4150
4199
t53
t54
4417
4494
4520
4630
4635
4730
4928
4936
5046
5234
5249
r20
5525
5636
5666
5726
5734
5815
5969
5979
6217
6219
6310
6468
6732
7324
7440
7448
7450
